daily_id,timestamp,price,open,high,low,close,volume,avg_vol_3_months,bid,ask,prev_close,52_week_high,52_week_low,symbol_id
1,2021-07-14 9:30,303.65,304,304.25,303.05,303.41,4845700,6401669,303.25,302.05,296.66,309.14,169.08,1
2,2021-07-14 9:30,303.551,303.901,304.151,302.951,303.311,4894157,6401669,304.151,302.951,296.66,309.14,169.08,1
3,2021-07-14 9:31,303.452,303.802,304.052,302.852,303.212,4748786,6401669,305.052,303.852,296.66,309.14,169.08,1
4,2021-07-14 9:31,303.353,303.703,303.953,302.753,303.113,4845700,6401669,302.953,301.753,296.66,309.14,169.08,1
5,2021-07-14 9:32,303.254,303.604,303.854,302.654,303.014,9352201,6401669,303.854,302.654,296.66,309.14,169.08,1
6,2021-07-14 9:32,303.155,303.505,303.755,302.555,302.915,9691400,6401669,303.755,302.555,296.66,309.14,169.08,1
7,2021-07-14 9:33,303.056,303.406,303.656,302.456,302.816,2665135,6401669,304.656,303.456,296.66,309.14,169.08,1
8,2021-07-14 9:33,302.957,303.307,303.557,302.357,302.717,5960211,6401669,302.557,301.357,296.66,309.14,169.08,1
9,2021-07-14 9:34,302.858,303.208,303.458,302.258,302.618,4942614,6401669,304.458,303.258,296.66,309.14,169.08,1
10,2021-07-14 9:34,302.759,303.109,303.359,302.159,302.519,2907420,6401669,304.759,303.559,296.66,309.14,169.08,1
11,2021-07-14 9:35,303.39,303.01,303.98,302.8,303.53,3876560,6401669,305.78,304.6,296.66,309.14,169.08,1
12,2021-07-14 9:35,303.291,302.911,303.881,302.701,303.431,4361130,6401669,303.881,302.701,296.66,309.14,169.08,1
13,2021-07-14 9:36,303.291,302.911,303.881,302.701,303.431,1453710,6401669,304.881,303.701,296.66,309.14,169.08,1
14,2021-07-14 9:36,304.291,303.911,304.881,303.701,304.431,2665135,6401669,303.881,302.701,296.66,309.14,169.08,1
15,2021-07-14 9:37,303.291,302.911,303.881,302.701,303.431,4942614,6401669,303.881,302.701,296.66,309.14,169.08,1
16,2021-07-14 9:37,303.291,302.911,303.881,302.701,303.431,2907420,6401669,303.881,302.701,296.66,309.14,169.08,1
17,2021-07-14 9:38,303.291,302.911,303.881,302.701,303.431,1114511,6401669,304.881,303.701,296.66,309.14,169.08,1
